agency,state,year,months_reported,population,violent_crime_total,property_crime_total,homicide_total,latitude,longitude,source_file
Abilene Police Dept,TX,,12,119886,472,4393,3,32.4887,99.7331,crime_population.csv
Akron City Police Dept,OH,,12,198390,1759,10034,24,41.0814,81.519,crime_population.csv
Alexandria Police Dept,VA,,12,145892,243,2990,0,38.8048,77.0469,crime_population.csv
Allentown City Police Dept,PA,,12,119334,653,4603,15,40.6084,75.4902,crime_population.csv
Amarillo Police Dept,TX,,12,196576,1278,8900,10,35.222,101.8313,crime_population.csv
Amherst Town Police Dept,NY,,12,117591,88,2261,0,43.0271,78.7703,crime_population.csv
Ann Arbor Police Dept,MI,,12,115008,227,2726,1,42.2808,83.743,crime_population.csv
Antioch Police Dept,CA,,12,105009,1068,4757,10,38.0049,121.8058,crime_population.csv
Arvada Police Dept,CO,,12,109029,158,2605,0,39.8028,105.0875,crime_population.csv
Athens-Clarke County Police Department,GA,,12,117457,455,4601,5,33.9519,83.3576,crime_population.csv
Aurora Police Dept,IL,,12,199765,563,3565,0,41.7606,88.3201,crime_population.csv
Baton Rouge Police Dept,LA,,12,231500,2507,12059,66,30.4583,91.1403,crime_population.csv
Beaumont Police Dept,TX,,12,120323,1242,5824,13,30.0802,94.1266,crime_population.csv
Bellevue Police Dept,WA,,12,126022,161,3503,2,47.6104,122.2007,crime_population.csv
Berkeley Police Dept,CA,,12,114961,487,5696,5,37.8716,122.2727,crime_population.csv
Billings Police Dept,MT,,12,106371,370,4812,3,45.7833,108.5007,crime_population.csv
Birmingham Police Dept,AL,,12,213266,3237,14788,67,33.5207,86.8025,crime_population.csv
Boise Police Dept,ID,,12,211569,567,5342,1,43.6187,116.2146,crime_population.csv
Boulder Police Dept,CO,,12,100257,249,2937,0,40.015,105.2705,crime_population.csv
Bridgeport Police Dept,CT,,12,146030,1760,5153,22,41.1865,73.1952,crime_population.csv
Broken Arrow Police Dept,OK,,12,100688,155,2187,1,36.0609,95.7975,crime_population.csv
Brownsville Police Dept,TX,,12,181102,473,8337,3,25.9017,97.4975,crime_population.csv
Burbank Police Dept,CA,,12,105057,243,2493,2,34.1808,118.309,crime_population.csv
Cambridge Police Dept,MA,,12,106981,431,3091,1,42.3736,71.1097,crime_population.csv
Cape Coral Police Dept,FL,,12,159625,229,3521,4,26.5629,81.9495,crime_population.csv
Carslbad Police Dept,CA,,12,107879,265,2109,2,33.1581,117.3506,crime_population.csv
Carrollton Police Dept,TX,,12,124477,180,3414,2,32.9756,96.89,crime_population.csv
