agency,state,year,months_reported,population,latitude,longitude,source_file,violent_crime_rate,property_crime_rate,homicide_rate,coverage_ratio,safety_score,safety_label
Abilene Police Dept,TX,,12,119886,32.4887,99.7331,crime_population.csv,393.70735532088815,3664.314432043775,2.502377258395476,1.0,0.8276133492835553,Medium
Akron City Police Dept,OH,,12,198390,41.0814,81.519,crime_population.csv,886.6374313221432,5057.714602550532,12.097383940722818,1.0,0.6521987236688074,Low
Alexandria Police Dept,VA,,12,145892,38.8048,77.0469,crime_population.csv,166.56156608998438,2049.461245304746,0.0,1.0,0.9400635447119543,High
Allentown City Police Dept,PA,,12,119334,40.6084,75.4902,crime_population.csv,547.2036469070006,3857.2410209998825,12.569762180099552,1.0,0.7595146217243265,Low
Amarillo Police Dept,TX,,12,196576,35.222,101.8313,crime_population.csv,650.1302295295458,4527.510988116555,5.08709099788377,1.0,0.738749851268098,Low
Amherst Town Police Dept,NY,,12,117591,43.0271,78.7703,crime_population.csv,74.8356591916048,1922.7661980933915,0.0,1.0,0.9617909194507689,High
Ann Arbor Police Dept,MI,,12,115008,42.2808,83.743,crime_population.csv,197.37757373400112,2370.269894268225,0.8695047301057318,1.0,0.9191438326803861,High
Antioch Police Dept,CA,,12,105009,38.0049,121.8058,crime_population.csv,1017.0556809416336,4530.087897227857,9.52299326724376,1.0,0.6571217650492885,Low
Arvada Police Dept,CO,,12,109029,39.8028,105.0875,crime_population.csv,144.915572920966,2389.272578855167,0.0,1.0,0.9308209566735721,High
Athens-Clarke County Police Department,GA,,12,117457,33.9519,83.3576,crime_population.csv,387.37580561396936,3917.1782013843367,4.256876984768894,1.0,0.813284111425329,Medium
Aurora Police Dept,IL,,12,199765,41.7606,88.3201,crime_population.csv,281.8311516031337,1784.5969013590968,0.0,1.0,0.9292424798402589,High
Baton Rouge Police Dept,LA,,12,231500,30.4583,91.1403,crime_population.csv,1082.937365010799,5209.071274298057,28.5097192224622,1.0,0.5574032551708377,Low
Beaumont Police Dept,TX,,12,120323,30.0802,94.1266,crime_population.csv,1032.2216035171996,4840.30484612252,10.80425188866634,1.0,0.6381521330698878,Low
Bellevue Police Dept,WA,,12,126022,47.6104,122.2007,crime_population.csv,127.75547126692166,2779.673390360413,1.5870244877878463,1.0,0.9136698961101495,High
Berkeley Police Dept,CA,,12,114961,37.8716,122.2727,crime_population.csv,423.6219239568201,4954.723775889214,4.349301067318482,1.0,0.7660186008168768,Medium
Billings Police Dept,MT,,12,106371,45.7833,108.5007,crime_population.csv,347.8391666901693,4523.78937868404,2.8203175677581296,1.0,0.8015837625254159,Medium
Birmingham Police Dept,AL,,12,213266,33.5207,86.8025,crime_population.csv,1517.822812825298,6934.0635638123285,31.41616572730768,1.0,0.40131330995798975,Low
Boise Police Dept,ID,,12,211569,43.6187,116.2146,crime_population.csv,267.9976745175333,2524.9445807278003,0.4726590379497941,1.0,0.9014756320599262,High
Boulder Police Dept,CO,,12,100257,40.015,105.2705,crime_population.csv,248.36171040426103,2929.4712588647176,0.0,1.0,0.8908744590612815,High
Bridgeport Police Dept,CT,,12,146030,41.1865,73.1952,crime_population.csv,1205.2318016845854,3528.7269739094704,15.065397521057315,1.0,0.6436893855515706,Low
Broken Arrow Police Dept,OK,,12,100688,36.0609,95.7975,crime_population.csv,153.9408866995074,2172.056252979501,0.9931670109645638,1.0,0.934406074718916,High
Brownsville Police Dept,TX,,12,181102,25.9017,97.4975,crime_population.csv,261.1787832271317,4603.483120009718,1.6565250521805392,1.0,0.8181161196961587,Medium
Burbank Police Dept,CA,,12,105057,34.1808,118.309,crime_population.csv,231.3030069390902,2372.99751563437,1.903728452173582,1.0,0.9094862931553378,High
Cambridge Police Dept,MA,,12,106981,42.3736,71.1097,crime_population.csv,402.8752769183313,2889.298099662557,0.9347454220842952,1.0,0.8611152063952183,Medium
Cape Coral Police Dept,FL,,12,159625,26.5629,81.9495,crime_population.csv,143.46123727486295,2205.7948316366483,2.5058731401722785,1.0,0.930133836181538,High
Carslbad Police Dept,CA,,12,107879,33.1581,117.3506,crime_population.csv,245.6455844047497,1954.9680660740275,1.853928938903772,1.0,0.9232676393701725,High
Carrollton Police Dept,TX,,12,124477,32.9756,96.89,crime_population.csv,144.60502743478713,2742.675353679796,1.6067225270531904,1.0,0.9119577731565428,High
Cary Police Dept,NC,,12,141016,35.7915,78.7811,crime_population.csv,81.55102967039201,1353.7470925285074,0.0,1.0,0.9826774875938765,High
Cedar Rapids Police Dept,IA,,12,128401,41.9779,91.6656,crime_population.csv,277.2564076603765,3678.320262303253,2.336430401632386,1.0,0.8489366500176128,Medium
Centennial,CO,,12,104022,39.5807,104.8772,crime_population.csv,150.92961104381766,1383.361212051297,0.9613351021899212,1.0,0.9657155412649153,High
Chandler Police Dept,AZ,,12,242721,33.3062,111.8413,crime_population.csv,258.7332781259141,2707.2235200085693,1.6479826632223828,1.0,0.892295817555043,High
Charleston City Police Dept,SC,,12,123856,32.7765,79.9311,crime_population.csv,238.987210954657,2723.323859966413,9.688670714377988,1.0,0.8693446662240373,Medium
Chattanooga Police Dept,TN,,12,171541,35.0456,85.3097,crime_population.csv,996.2632839962458,6086.591543712582,12.8249223217773,1.0,0.589778812321136,Low
Chesapeake Police Dept,VA,,12,227531,36.7682,76.2875,crime_population.csv,368.74096276990826,2765.3374704985254,5.274006618878307,1.0,0.8581860360848382,Medium
Chula Vista Police Dept,CA,,12,249830,32.6401,117.0842,crime_population.csv,232.5581395348837,2033.7829724212463,3.202177480686867,1.0,0.9182516877588287,High
